id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,layering,Service Layer + Repository,Separate transport business logic and persistence concerns,Most backend services and coding-agent implementations,Can become ceremony for very small scripts,Controller validates and maps service owns business rules repository owns queries,service layer repository controller clean architecture,Clean Architecture,https://architecture.example.com/pattern/service-layer-%2B-repository,engineering-blog,2026-05-04,any,any,medium,medium
2,transactions,ACID transaction boundary,Group related writes so they succeed or fail atomically,Multi-table writes payments inventory bookings account changes,Long transactions can lock rows and reduce throughput,Start transaction in service layer keep it short and use retries for serialization conflicts,transaction acid multi table write consistency,PostgreSQL Transactions,https://architecture.example.com/pattern/acid-transaction-boundary,engineering-blog,2026-05-04,any,any,medium,medium
3,queries,N+1 prevention,Batch or join related data instead of querying inside loops,List endpoints GraphQL resolvers dashboards and exports,Overfetching can happen if joins are too broad,Use eager loading batched IN queries DataLoader or precomputed read models,n+1 query dataloader eager loading loop,GraphQL DataLoader,https://architecture.example.com/pattern/n%2B1-prevention,engineering-blog,2026-05-04,any,any,medium,medium
4,indexing,Query-driven indexing,Create indexes from actual filter sort and join patterns,Endpoints with latency targets and growing tables,Indexes speed reads but slow writes and consume storage,Use composite indexes matching where/order clauses and inspect query plans,index composite query plan postgres mysql,Use The Index Luke,https://architecture.example.com/pattern/query-driven-indexing,engineering-blog,2026-05-04,any,any,medium,medium
5,tenancy,Tenant isolation with scoped access,Multi-tenant SaaS with shared application infrastructure,Shared schema is cheaper but raises isolation risk,Apply tenant_id at repository boundary and enforce RLS where supported,multi tenant tenant_id row level security saas,PostgreSQL RLS,,https://architecture.example.com/pattern/tenant-isolation-with-scoped-access,engineering-blog,2026-05-04,any,any,medium,medium
6,consistency,Optimistic concurrency control,Detect conflicting writes through version columns or timestamps,Collaborative editing inventory booking and account updates,Conflicts need user or retry handling,Include version in update predicate and return conflict on mismatch,optimistic locking version concurrent update,JPA Optimistic Locking,https://architecture.example.com/pattern/optimistic-concurrency-control,engineering-blog,2026-05-04,any,any,medium,medium
7,architecture,CQRS read model,Separate write model from optimized read projections,Complex dashboards search-heavy systems and event-driven domains,Adds projection lag and operational complexity,Use only where read/write needs diverge materially,cqrs read model projection dashboard,Martin Fowler CQRS,https://architecture.example.com/pattern/cqrs-read-model,engineering-blog,2026-05-04,any,any,medium,medium
8,scale,Partitioning and sharding,Split data by range hash or tenant for scale or isolation,Very large tables high write throughput tenant-level scaling,Operational complexity migrations and cross-shard queries,Prefer partitioning before sharding and define shard key from access patterns,sharding partitioning scale tenant high throughput,PostgreSQL Partitioning,https://architecture.example.com/pattern/partitioning-and-sharding,engineering-blog,2026-05-04,any,any,medium,medium
9,constraints,Database constraints as invariants,Enforce uniqueness foreign keys and check constraints in the database,Critical data integrity such as orders payments ledgers and tenant ownership,Requires planned migrations and error mapping,Use constraints as final guard after application validation,unique constraint foreign key check invariant integrity,PostgreSQL Constraints,https://architecture.example.com/pattern/database-constraints-as-invariants,engineering-blog,2026-05-04,any,any,medium,medium
10,migrations,Backward-compatible migrations,Deploy schema changes without downtime,Production services with rolling deploys and active traffic,Requires expand migrate contract sequencing,Add nullable columns backfill dual-write then enforce and remove old fields,migration zero downtime expand contract,Strong Migrations,https://architecture.example.com/pattern/backward-compatible-migrations,engineering-blog,2026-05-04,any,any,medium,medium
