id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,logging,Structured logs with correlation IDs,Machine-readable logs tied to request or job execution,Every production backend and worker,Requires consistent logging fields and PII discipline,Include request_id user_id tenant_id operation duration status and error class,structured logs correlation id request id,OpenTelemetry,https://architecture.example.com/pattern/structured-logs-with-correlation-ids,engineering-blog,2026-05-04,any,any,medium,medium
2,tracing,Distributed tracing,Trace requests across services databases queues and external calls,Microservices complex monoliths queues and slow request debugging,Instrumentation overhead and sampling decisions,Propagate trace context across HTTP and queue messages,tracing opentelemetry span latency,OpenTelemetry,https://architecture.example.com/pattern/distributed-tracing,engineering-blog,2026-05-04,any,any,medium,medium
3,metrics,RED metrics,Track rate errors and duration for services and endpoints,APIs workers and critical dependencies,Metrics cardinality can explode if labels are unbounded,Use route templates not raw URLs and define p50 p95 p99 latency,metrics rate errors duration p95 p99,Google SRE,https://architecture.example.com/pattern/red-metrics,engineering-blog,2026-05-04,any,any,medium,medium
4,slo,SLO with error budget,Define reliability target and alert on user-impacting burn rate,Production systems with uptime or latency commitments,Requires product agreement on reliability targets,Create SLI for availability latency correctness and alert on budget burn,slo sli error budget alert,SRE Workbook,https://architecture.example.com/pattern/slo-with-error-budget,engineering-blog,2026-05-04,any,any,medium,medium
5,audit,Audit log,Append-only record of security or business-critical actions,Admin actions account changes financial records regulated systems,Can expose sensitive data if not designed carefully,Store actor action target timestamp metadata and reason without secrets,audit log admin compliance security,OWASP ASVS,https://architecture.example.com/pattern/audit-log,engineering-blog,2026-05-04,any,any,medium,medium
6,health,Health and readiness checks,Expose process liveness and dependency readiness,Containers load balancers orchestrators and deploy pipelines,Deep checks can cause cascading load,Keep liveness shallow and readiness dependency-aware,health readiness liveness kubernetes,Docker Healthcheck,https://architecture.example.com/pattern/health-and-readiness-checks,engineering-blog,2026-05-04,any,any,medium,medium
7,errors,Error tracking,Group exceptions and regressions across releases,APIs workers and frontend-facing backend errors,Can collect sensitive data if not filtered,Sanitize payloads and tag release environment tenant and route,error tracking sentry exception release,Sentry,https://architecture.example.com/pattern/error-tracking,engineering-blog,2026-05-04,any,any,medium,medium
8,profiling,Continuous profiling,Find CPU memory and allocation hotspots in production,High-throughput services and performance investigations,Adds overhead and requires sampling control,Use low-overhead profiling and correlate with deploys,profiling cpu memory allocation performance,Pyroscope,https://architecture.example.com/pattern/continuous-profiling,engineering-blog,2026-05-04,any,any,medium,medium
9,business,Business metrics,Track domain outcomes beyond technical health,Payments subscriptions orders onboarding and conversion,Metric definitions need product ownership,Emit counters and gauges for critical domain events,business metrics payment order subscription,Lean Analytics,https://architecture.example.com/pattern/business-metrics,engineering-blog,2026-05-04,any,any,medium,medium
10,privacy,PII-safe logging,Prevent secrets and personal data from entering logs,Regulated apps auth payment healthcare and support systems,Requires schemas and redaction discipline,Redact tokens passwords emails where possible and denylist sensitive fields,pii logs redaction secrets privacy,OWASP Logging,https://architecture.example.com/pattern/pii-safe-logging,engineering-blog,2026-05-04,any,any,medium,medium
