stack,category,guideline,do,dont,notes,keywords,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
node-express,structure,Thin routes plus services,Use route middleware for validation/auth and call service methods,Do not put business workflows directly in Express handlers,Keep repositories injectable for tests,express route service repository node,https://architecture.example.com/pattern/thin-routes-plus-services,engineering-blog,2026-05-04,any,any,medium,medium
node-express,validation,Schema validation,Use Zod Joi or Valibot at request boundary,Do not trust req.body or query strings,Map validation errors to 400 problem details,express zod joi validation,https://architecture.example.com/pattern/schema-validation,engineering-blog,2026-05-04,any,any,medium,medium
nestjs,structure,Modules providers services repositories,Use controllers for transport services for domain logic and providers for infrastructure,Do not make controllers orchestrate database and external calls,NestJS DI helps enforce boundaries,nestjs module controller service provider,https://architecture.example.com/pattern/modules-providers-services-repositories,engineering-blog,2026-05-04,any,any,medium,medium
nestjs,transactions,Transaction-aware service methods,Use Unit of Work or ORM transaction manager in service layer,Do not start transactions in decorators without clear propagation,Keep transaction lifetime short,nestjs transaction typeorm prisma,https://architecture.example.com/pattern/transaction-aware-service-methods,engineering-blog,2026-05-04,any,any,medium,medium
nextjs-api,boundary,Server actions and route handlers as transport,Validate inputs and call backend service modules from route handlers/actions,Do not query production DB directly from client components,Keep secrets server-only,nextjs route handler server action api,https://architecture.example.com/pattern/server-actions-and-route-handlers-as-transport,engineering-blog,2026-05-04,any,any,medium,medium
laravel,structure,FormRequest Service Action Repository,Use FormRequest for validation policies for auth and services/actions for workflows,Do not overload controllers or Eloquent models with workflows,Use database transactions around workflows,laravel controller service policy eloquent,https://architecture.example.com/pattern/formrequest-service-action-repository,engineering-blog,2026-05-04,any,any,medium,medium
django,structure,Views serializers services selectors,Use DRF serializers for validation and service functions for writes,Do not bury business workflows in views or model save hooks,Selectors centralize read queries,django drf service selector,https://architecture.example.com/pattern/views-serializers-services-selectors,engineering-blog,2026-05-04,any,any,medium,medium
fastapi,structure,Routers dependencies services repositories,Use Pydantic schemas dependencies for auth and service layer for business logic,Do not put long workflows in route functions,Use background tasks only for lightweight work; prefer a real queue,fastapi pydantic router service,https://architecture.example.com/pattern/routers-dependencies-services-repositories,engineering-blog,2026-05-04,any,any,medium,medium
spring-boot,structure,Controller service repository,Use Spring services with transactional boundaries and repositories for persistence,Do not expose JPA entities directly as API responses,Use DTOs and Bean Validation,spring boot controller service repository,https://architecture.example.com/pattern/controller-service-repository,engineering-blog,2026-05-04,any,any,medium,medium
go,structure,Handler service store,Use interfaces around stores and external clients for tests,Do not create package-level global clients for everything,Pass context deadlines through call graph,golang handler service repository context,https://architecture.example.com/pattern/handler-service-store,engineering-blog,2026-05-04,any,any,medium,medium
dotnet,structure,Controller minimal API application service,Use application services and repositories with EF Core transactions,Do not expose EF entities directly in public contracts,Use FluentValidation or DataAnnotations,dotnet aspnet efcore service validation,https://architecture.example.com/pattern/controller-minimal-api-application-service,engineering-blog,2026-05-04,any,any,medium,medium
node-express,errors,Central error middleware,Map domain errors to problem details in one middleware,Do not return raw Error objects or stack traces,Attach correlation ID to every error response,express error middleware problem details,https://architecture.example.com/pattern/central-error-middleware,engineering-blog,2026-05-04,any,any,medium,medium
nestjs,validation,DTO validation pipe,Use class-validator or schema validation pipes globally,Do not trust request DTOs without validation,Keep domain validation in services too,nestjs dto validation pipe,https://architecture.example.com/pattern/dto-validation-pipe,engineering-blog,2026-05-04,any,any,medium,medium
nextjs-api,runtime,Server-only dependency boundary,Keep database clients and secrets in server-only modules,Do not import server code into client components,Use server-only package or clear folder boundaries,nextjs server only secret database,https://architecture.example.com/pattern/server-only-dependency-boundary,engineering-blog,2026-05-04,any,any,medium,medium
laravel,queues,Queued jobs for slow work,Use Laravel queues for mail exports webhooks and media,Do not run slow integrations inside HTTP controllers,Use retries backoff and failed job handling,laravel queue job mail webhook,https://architecture.example.com/pattern/queued-jobs-for-slow-work,engineering-blog,2026-05-04,any,any,medium,medium
django,transactions,Atomic service writes,Use transaction.atomic around multi-model writes,Do not rely on save order without rollback,Keep external calls outside DB transactions,django transaction atomic service,https://architecture.example.com/pattern/atomic-service-writes,engineering-blog,2026-05-04,any,any,medium,medium
fastapi,async,Async I/O discipline,Use async drivers for async routes or sync routes for blocking libraries,Do not block event loop with sync DB or HTTP clients,Move CPU work to workers,fastapi async event loop blocking,https://architecture.example.com/pattern/async-i/o-discipline,engineering-blog,2026-05-04,any,any,medium,medium
spring-boot,validation,Bean validation plus service invariants,Use request DTO validation and service-level business checks,Do not rely only on controller annotations,Return structured validation errors,spring boot bean validation dto,https://architecture.example.com/pattern/bean-validation-plus-service-invariants,engineering-blog,2026-05-04,any,any,medium,medium
go,errors,Typed domain errors,Return typed errors and map them at handler boundary,Do not compare raw error strings,Wrap with context and avoid leaking internals,golang errors handler domain,https://architecture.example.com/pattern/typed-domain-errors,engineering-blog,2026-05-04,any,any,medium,medium
