id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,auth,OAuth2/OIDC + short-lived JWT,Use OIDC identity with short access tokens and refresh rotation,User-facing apps SaaS platforms and third-party identity,JWT revocation needs token versioning or server-side metadata,Access token 5-15m refresh rotation secure httpOnly cookies where browser-based,oauth oidc jwt refresh token auth,RFC 6749; OpenID Connect,https://architecture.example.com/pattern/oauth2/oidc-%2B-short-lived-jwt,official-docs,2026-05-04,any,any,medium,medium
2,authz,RBAC with scoped permissions,Role and permission checks enforced in service layer,Admin panels multi-tenant SaaS and team-based products,Can become too coarse for complex policy,Check tenant scope and action permission before mutation,rbac permission tenant authorization,OWASP ASVS,https://architecture.example.com/pattern/rbac-with-scoped-permissions,engineering-blog,2026-05-04,any,any,medium,medium
3,authz,ABAC policy checks,Attribute-based authorization for context-sensitive access,Regulated apps document access and complex enterprise permissions,More complex to test and explain,Centralize policy evaluation and add decision logs,abac policy attribute authorization enterprise,NIST ABAC,https://architecture.example.com/pattern/abac-policy-checks,engineering-blog,2026-05-04,any,any,medium,medium
4,password,Argon2id password hashing,Memory-hard password hashing for credential storage,Any system storing passwords,Requires parameter tuning and migration path,Use unique salts pepper in secret manager and rehash on login when params change,password hash argon2 bcrypt credential,OWASP Password Storage,https://architecture.example.com/pattern/argon2id-password-hashing,engineering-blog,2026-05-04,any,any,medium,medium
5,rate-limit,Layered rate limiting,Limit abusive traffic by user tenant IP route and token,Login signup public APIs webhooks and expensive endpoints,Can block legitimate traffic if keys are too broad,Apply stricter limits to auth and write endpoints with clear 429 response,rate limit brute force abuse api,OWASP API Security,https://architecture.example.com/pattern/layered-rate-limiting,engineering-blog,2026-05-04,any,any,medium,medium
6,validation,Schema validation at boundary,Reject malformed input before business logic,All HTTP queue webhook and job inputs,Validation drift if schemas are duplicated,Use DTO/schema validators and preserve domain invariants in services,input validation schema zod pydantic dto,OWASP ASVS,https://architecture.example.com/pattern/schema-validation-at-boundary,engineering-blog,2026-05-04,any,any,medium,medium
7,secrets,Secret manager integration,Load secrets from managed secret store or environment injection,Production apps CI/CD containers and cloud deployments,Requires rotation and local development policy,Never hardcode secrets or commit real values; rotate on exposure,secret manager env api key jwt secret,12 Factor App,https://architecture.example.com/pattern/secret-manager-integration,engineering-blog,2026-05-04,any,any,medium,medium
8,webhook,HMAC webhook verification,Verify third-party webhook signatures and timestamps,Payments billing email delivery and integration callbacks,Requires provider-specific canonical payload handling,Validate raw body timestamp replay window and idempotency key,webhook hmac signature replay payment,Stripe Webhook Security,https://architecture.example.com/pattern/hmac-webhook-verification,engineering-blog,2026-05-04,any,any,medium,medium
9,session,httpOnly secure cookies,Store browser session tokens in secure httpOnly cookies,Browser apps using cookie-based auth,Requires CSRF strategy and SameSite tuning,Use Secure HttpOnly SameSite and CSRF protection for unsafe methods,cookie httponly secure samesite csrf,OWASP Session Management,https://architecture.example.com/pattern/httponly-secure-cookies,engineering-blog,2026-05-04,any,any,medium,medium
10,csrf,CSRF token protection,Prevent cross-site form or cookie-authenticated write attacks,Cookie-authenticated browser apps,Token handling adds client and server coordination,Use SameSite plus synchronizer or double-submit tokens,csrf cookie browser write request,OWASP CSRF,https://architecture.example.com/pattern/csrf-token-protection,engineering-blog,2026-05-04,any,any,medium,medium
11,cors,Strict CORS allowlist,Restrict browser origins that can read API responses,Public APIs consumed by browser clients,Incorrect wildcard with credentials leaks data,Allow explicit origins methods headers and avoid credentials with wildcard,cors origin allowlist credentials,MDN CORS,https://architecture.example.com/pattern/strict-cors-allowlist,engineering-blog,2026-05-04,any,any,medium,medium
12,data,Field-level encryption,Encrypt especially sensitive fields separately from disk encryption,PII PHI tokens financial identifiers and regulated data,Search and filtering become harder,Encrypt at application boundary and manage keys in KMS,field encryption pii phi kms,OWASP Cryptographic Storage,https://architecture.example.com/pattern/field-level-encryption,engineering-blog,2026-05-04,any,any,medium,medium
13,audit,Security audit events,Record authentication authorization and sensitive changes,Admin actions compliance and incident response,Logging too much can leak sensitive data,Log actor action target result and reason without secrets,audit security event admin login,OWASP ASVS,https://architecture.example.com/pattern/security-audit-events,engineering-blog,2026-05-04,any,any,medium,medium
