id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,timeout,Strict timeouts,Bound how long calls can consume resources,Every external database HTTP queue and service call,Too aggressive timeouts can increase false failures,Set connect read and total deadlines and propagate cancellation,timeout deadline external api database,Google SRE,https://architecture.example.com/pattern/strict-timeouts,engineering-blog,2026-05-04,any,any,medium,medium
2,retry,Exponential backoff with jitter,Retry transient failures without synchronized retry storms,Network calls queues rate limits and transient 5xx failures,Unsafe for non-idempotent operations without keys,Retry only retryable errors with max attempts jitter and idempotency,retry backoff jitter transient failure,AWS Architecture,https://architecture.example.com/pattern/exponential-backoff-with-jitter,engineering-blog,2026-05-04,any,any,medium,medium
3,circuit-breaker,Circuit Breaker,Stop calling unhealthy dependencies temporarily,Unstable third-party APIs payment providers and downstream services,May reject requests even as dependency recovers,Track rolling failures open half-open and fallback behavior,circuit breaker fallback downstream,Martin Fowler Circuit Breaker,https://architecture.example.com/pattern/circuit-breaker,engineering-blog,2026-05-04,any,any,medium,medium
4,isolation,Bulkhead isolation,Limit failures in one dependency or workload from exhausting all resources,Multiple downstreams worker pools and tenant workloads,Capacity planning becomes more explicit,Use separate pools queues concurrency limits and budgets,bulkhead isolation worker pool tenant,Release It,https://architecture.example.com/pattern/bulkhead-isolation,engineering-blog,2026-05-04,any,any,medium,medium
5,workflow,Saga orchestration,Coordinate multi-step distributed business transactions,Orders payments fulfillment onboarding and cross-service writes,Eventual consistency and compensation complexity,Define forward steps compensation idempotency and audit trail,saga distributed transaction compensation,Microservices Patterns,https://architecture.example.com/pattern/saga-orchestration,engineering-blog,2026-05-04,any,any,medium,medium
6,degradation,Graceful degradation,Return reduced functionality when dependencies fail,Non-critical recommendations analytics search or personalization,Can hide chronic dependency failure if not monitored,Make fallback explicit and alert on degraded mode,fallback graceful degradation resilience,SRE Workbook,https://architecture.example.com/pattern/graceful-degradation,engineering-blog,2026-05-04,any,any,medium,medium
7,backpressure,Backpressure and load shedding,Reject or slow requests before the system collapses,Traffic spikes worker queues streaming and high concurrency APIs,Some users receive 429 or degraded service,Set queue limits concurrency caps and overload responses,backpressure load shedding overload queue limit,Google SRE,https://architecture.example.com/pattern/backpressure-and-load-shedding,engineering-blog,2026-05-04,any,any,medium,medium
8,dependency,Dependency budget,Allocate latency and error budgets per downstream call,Composite APIs with several databases and external services,Requires measurement and ownership,Track per-dependency timeout retries and p95 latency,dependency budget latency downstream,SRE Workbook,https://architecture.example.com/pattern/dependency-budget,engineering-blog,2026-05-04,any,any,medium,medium
9,recovery,DLQ replay workflow,Recover failed asynchronous messages deliberately,Queues webhooks imports and event consumers,Replay tooling can re-trigger side effects,Make replay idempotent auditable and permission-gated,dlq replay worker recovery idempotent,Enterprise Integration Patterns,https://architecture.example.com/pattern/dlq-replay-workflow,engineering-blog,2026-05-04,any,any,medium,medium
10,deploy,Feature flag kill switch,Disable risky behavior without redeploy,New integrations expensive jobs and optional features,Flag sprawl creates complexity,Define owner expiry and safe fallback for every kill switch,feature flag kill switch fallback,LaunchDarkly,https://architecture.example.com/pattern/feature-flag-kill-switch,engineering-blog,2026-05-04,any,any,medium,medium
11,data,Reconciliation job,Periodically compare and repair derived or external state,Payments inventory integrations and eventual consistency,Can mask underlying bugs if not tracked,Emit discrepancy metrics and keep repair actions audited,reconciliation consistency repair payment inventory,Stripe Engineering,https://architecture.example.com/pattern/reconciliation-job,engineering-blog,2026-05-04,any,any,medium,medium
12,limits,Per-tenant quotas,Isolate noisy tenants from shared resources,Multi-tenant SaaS APIs workers and storage,Quota design can block legitimate bursts,Use rate storage and concurrency quotas with overrides,tenant quota noisy neighbor isolation,Azure Architecture,https://architecture.example.com/pattern/per-tenant-quotas,engineering-blog,2026-05-04,any,any,medium,medium
13,limits,Concurrency limiter,Bound concurrent work per route dependency or tenant,Expensive endpoints slow downstreams and worker pools,May reject excess requests,Use semaphore style limiter with timeout and 429 or queue response,concurrency limiter semaphore tenant,SRE Workbook,https://architecture.example.com/pattern/concurrency-limiter,engineering-blog,2026-05-04,any,any,medium,medium
14,limits,Queue max age alert,Alert when work waits too long,Background jobs webhooks and event consumers,Requires per queue threshold ownership,Monitor oldest message age not only queue depth,queue age alert worker lag,SRE Workbook,https://architecture.example.com/pattern/queue-max-age-alert,engineering-blog,2026-05-04,any,any,medium,medium
15,timeout,Hedged requests,Send duplicate request after delay to reduce tail latency,Idempotent reads to replicated services,Increases load and can worsen incidents,Use only for safe reads with budget and cancellation,hedged request tail latency,Google SRE,https://architecture.example.com/pattern/hedged-requests,engineering-blog,2026-05-04,any,any,medium,medium
16,timeout,Adaptive timeout,Adjust timeout from observed latency and dependency SLO,Variable latency dependencies and internal services,Can mask degradation if too loose,Set bounds and review timeout by endpoint criticality,adaptive timeout latency dependency,SRE Workbook,https://architecture.example.com/pattern/adaptive-timeout,engineering-blog,2026-05-04,any,any,medium,medium
17,retry,Retry budget,Limit total retry traffic during incidents,High traffic services with retrying clients,Some transient failures will surface,Cap retries as percentage of original requests,retry budget overload,SRE Workbook,https://architecture.example.com/pattern/retry-budget,engineering-blog,2026-05-04,any,any,medium,medium
18,retry,Poison message detection,Stop retrying messages that always fail,Queue consumers and data import pipelines,Needs classification of retryable errors,Move deterministic failures to DLQ with reason,poison message retry dlq,Enterprise Integration Patterns,https://architecture.example.com/pattern/poison-message-detection,engineering-blog,2026-05-04,any,any,medium,medium
19,isolation,Separate worker pools,Run critical and non-critical jobs on different pools,Notifications billing exports reports and imports,More infrastructure to operate,Assign queues and concurrency by priority and dependency,worker pool isolation queue,Release It,https://architecture.example.com/pattern/separate-worker-pools,engineering-blog,2026-05-04,any,any,medium,medium
