id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,contract,REST resource API,Resource-oriented API with predictable HTTP verbs and status codes,CRUD-heavy applications public APIs admin panels and integrations,Can become chatty for complex graph reads,Use versioned routes input DTOs cursor pagination and consistent error envelopes,rest http crud endpoint pagination openapi,RFC 9110; OpenAPI,https://architecture.example.com/pattern/rest-resource-api,official-docs,2026-05-04,any,any,medium,medium
2,contract,GraphQL read model,Client-shaped query API for complex nested reads,Dashboards mobile apps and clients needing flexible field selection,Requires query complexity limits and resolver discipline,Use DataLoader or batched repositories to prevent N+1 and enforce depth limits,graphql nested query dashboard resolver dataloader,GraphQL Specification,https://architecture.example.com/pattern/graphql-read-model,engineering-blog,2026-05-04,any,any,medium,medium
3,contract,gRPC service API,Schema-first RPC over HTTP/2 with protobuf contracts,Internal service-to-service calls low latency polyglot systems,Harder for browsers and human debugging than REST,Use protobuf versioning deadlines retries and health checks,grpc protobuf rpc internal low latency,grpc.io,https://architecture.example.com/pattern/grpc-service-api,engineering-blog,2026-05-04,any,any,medium,medium
4,contract,tRPC type-safe API,End-to-end TypeScript API with inferred client types,Full-stack TypeScript apps where server and client share repo ownership,Tightly couples client and server TypeScript boundaries,Keep procedures thin and delegate business rules to services,trpc typescript fullstack procedure,TRPC Docs,https://architecture.example.com/pattern/trpc-type-safe-api,engineering-blog,2026-05-04,any,any,medium,medium
5,pagination,Cursor pagination,Stable pagination based on ordered cursor tokens,Large or frequently changing lists feeds audit logs and activity streams,More complex than offset for arbitrary page jumps,Order by immutable or monotonic fields and include deterministic tie breaker,cursor pagination infinite scroll feed large list,Relay Cursor Connections,https://architecture.example.com/pattern/cursor-pagination,engineering-blog,2026-05-04,any,any,medium,medium
6,pagination,Offset pagination,Limit and offset pagination for simple stable lists,Small admin tables low-volume reports and static datasets,Can skip or duplicate rows under concurrent writes,Always enforce max limit and indexes on order/filter fields,offset limit admin table pagination,PostgreSQL LIMIT/OFFSET,https://architecture.example.com/pattern/offset-pagination,engineering-blog,2026-05-04,any,any,medium,medium
7,versioning,Compatible additive versioning,Evolve API by adding fields and preserving existing behavior,Public APIs and long-lived client integrations,Requires contract tests and deprecation discipline,Add fields only avoid changing semantics and publish migration windows,api versioning backward compatible deprecation,Microsoft REST Guidelines,https://architecture.example.com/pattern/compatible-additive-versioning,engineering-blog,2026-05-04,any,any,medium,medium
8,errors,Problem Details error envelope,Standard structured errors for clients and logs,Any HTTP API that returns validation auth or domain errors,Requires consistent mapping across handlers,Use type title status detail instance and correlation id fields,error envelope problem details validation,RFC 9457,https://architecture.example.com/pattern/problem-details-error-envelope,official-docs,2026-05-04,any,any,medium,medium
9,contract,OpenAPI contract first,Design and validate API contracts before implementation,Public APIs partner integrations and generated clients,Contract changes require review discipline,Generate server stubs clients and contract tests from OpenAPI,openapi contract first schema client sdk,OpenAPI Specification,https://architecture.example.com/pattern/openapi-contract-first,engineering-blog,2026-05-04,any,any,medium,medium
10,contract,JSON API style resources,Standardize relationships filtering and sparse fieldsets,CRUD APIs with rich relationships and multiple clients,Can feel verbose for simple APIs,Use consistent resource types links includes and error objects,json api resource relationship include sparse fields,JSON API,https://architecture.example.com/pattern/json-api-style-resources,engineering-blog,2026-05-04,any,any,medium,medium
11,contract,BFF API,Backend-for-frontend tailored to one client experience,Mobile web and admin surfaces with different data needs,Duplicates logic if domain services are not shared,Keep BFF thin and call shared application services,bff backend for frontend mobile dashboard,Sam Newman BFF,https://architecture.example.com/pattern/bff-api,engineering-blog,2026-05-04,any,any,medium,medium
12,streaming,Server-Sent Events,One-way server to client event stream,Notifications progress updates dashboards and simple real-time feeds,Not suitable for bidirectional chat or binary streams,Use retry ids heartbeat and auth-aware connection limits,sse server sent events progress realtime,RFC 8895,https://architecture.example.com/pattern/server-sent-events,official-docs,2026-05-04,any,any,medium,medium
13,streaming,WebSocket gateway,Bidirectional long-lived connection for real-time interaction,Chat multiplayer collaborative editing and live trading,Needs connection lifecycle scaling and backpressure,Authenticate connection and route messages through services,websocket realtime chat bidirectional gateway,RFC 6455,https://architecture.example.com/pattern/websocket-gateway,official-docs,2026-05-04,any,any,medium,medium
14,uploads,Pre-signed upload URL,Upload large files directly to object storage,Media documents imports and user-generated files,A callback or finalize step is needed for consistency,Issue short-lived signed URL then verify object metadata before commit,file upload presigned url s3 object storage,AWS S3 Presigned URLs,https://architecture.example.com/pattern/pre-signed-upload-url,engineering-blog,2026-05-04,any,any,medium,medium
