id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,identity,Managed OIDC Integration,Delegate authentication to managed providers via OpenID Connect,Apps needing secure social login enterprise SSO and reduced security liability,Adds dependency on third-party uptime and per-user cost,Use PKCE flow for clients exchange codes for JWTs and verify signatures locally,oidc oauth2 auth0 clerk okta sso identity,OpenID Connect Spec,https://architecture.example.com/pattern/managed-oidc-integration,engineering-blog,2026-05-04,any,any,medium,medium
2,payments,Idempotent Payment Processor,Safe transaction handling with external payment gateways,E-commerce subscriptions and any financial transaction where retries occur,Requires storing idempotency keys and handling partial states,Pass unique Idempotency-Key in headers and return cached result on duplicates,stripe paypal payments idempotency transaction,Stripe API Docs,https://architecture.example.com/pattern/idempotent-payment-processor,engineering-blog,2026-05-04,any,any,medium,medium
3,payments,Webhook HMAC Verification,Verify authenticity of incoming events from external providers,Receiving payment confirmations user lifecycle events and third-party triggers,Slight CPU overhead for hashing and requires secret management,Compute HMAC-SHA256 of raw body using shared secret and compare with header,webhook security hmac signature verification,Stripe Webhooks,https://architecture.example.com/pattern/webhook-hmac-verification,engineering-blog,2026-05-04,any,any,medium,medium
4,communication,Async Notification Outbox,Offload external communication to background workers,Sending emails SMS or push notifications via Twilio/SendGrid/OneSignal,Increases latency between action and delivery but improves reliability,Save notification intent in DB in same transaction as action then poll/stream to worker,outbox pattern twilio sendgrid email sms worker,Transactional Outbox,https://architecture.example.com/pattern/async-notification-outbox,engineering-blog,2026-05-04,any,any,medium,medium
5,ai,Streaming LLM Gateway,Proxy and manage calls to LLM providers like OpenAI or Anthropic,AI-powered apps needing real-time streaming responses and cost control,Requires handling Server-Sent Events (SSE) and partial JSON,Implement stream proxy with budget limits rate limiting and prompt logging,openai anthropic llm streaming sse gateway,OpenAI API,https://architecture.example.com/pattern/streaming-llm-gateway,engineering-blog,2026-05-04,extreme,medium,high,high
6,ai,Agentic Tool Gateway (MCP),Implement Model Context Protocol for AI Agent tools,Exposing backend capabilities to AI agents as executable tools,Requires strict schema definition and security sandboxing,Expose JSON-RPC endpoints with clear tool descriptions and safety checks,mcp model context protocol agent tools ai,Model Context Protocol,https://architecture.example.com/pattern/agentic-tool-gateway-%28mcp%29,engineering-blog,2026-05-04,any,any,medium,medium
7,storage,Secure Object Proxy,Manage file access via signed URLs and object storage,User uploads media sharing and private document management,Requires short-lived secrets and metadata synchronization,Issue short-lived signed GET/PUT URLs and use webhooks for status sync,s3 presigned url signed url cloud storage,AWS S3 Docs,https://architecture.example.com/pattern/secure-object-proxy,engineering-blog,2026-05-04,any,any,medium,medium
8,search,Search Engine Sync,Sync database records with external search engines like Algolia,Apps needing fast full-text search faceted filtering and typo tolerance,Creates data consistency challenges (split brain),Use Change Data Capture (CDC) or hooks to push updates to search index,algolia meilisearch search sync indexing,Algolia Documentation,https://architecture.example.com/pattern/search-engine-sync,engineering-blog,2026-05-04,any,any,medium,medium
9,monitoring,External Status Aggregator,Integrate status page data from critical dependencies,Dashboarding and automated failover for multi-cloud/SaaS apps,Adds complexity to health check logic,Poll dependency status APIs and expose aggregate health via /health/deps,statuspage uptime monitor health check,Atlassian Statuspage,https://architecture.example.com/pattern/external-status-aggregator,engineering-blog,2026-05-04,any,any,medium,medium
10,location,Geocoding and Map Proxy,Integrate Google Maps or Mapbox with caching and privacy,Store locators delivery tracking and address validation,Map APIs are expensive and have strict caching TOS,Proxy map requests to hide client IP and cache non-PII geocoding results,google maps mapbox geocoding location proxy,Google Maps Platform,https://architecture.example.com/pattern/geocoding-and-map-proxy,engineering-blog,2026-05-04,any,any,medium,medium
11,automation,Headless Task Integration,Trigger and monitor long-running automation tasks,Web scraping PDF generation and scheduled reporting via Apify/Browserless,Requires handling long-lived job states and timeouts,Use async job pattern with status polling or webhooks for completion,apify browserless scraping automation puppeteer,Apify API,https://architecture.example.com/pattern/headless-task-integration,engineering-blog,2026-05-04,any,any,medium,medium
12,security,External Key Management (KMS),Delegate encryption/decryption to managed KMS providers,Encrypting sensitive PII fields and managing database encryption keys,Increases latency for every encrypted write/read,Use envelope encryption: fetch data key from KMS then encrypt locally,kms aws kms google kms vault encryption,NIST SP 800-57,https://architecture.example.com/pattern/external-key-management-%28kms%29,engineering-blog,2026-05-04,any,any,medium,medium
13,identity,External Authorization (FGA),Offload complex permission checks to Fine-Grained Auth providers,Multi-tenant SaaS with complex RBAC/ABAC and nested permissions,Latency of external auth check can impact UI/API responsiveness,Use Zanzibar-inspired providers (AuthZed/Okta FGA) and cache decisions,zanzibar fga authzed rbac permissions,Google Zanzibar Paper,https://architecture.example.com/pattern/external-authorization-%28fga%29,engineering-blog,2026-05-04,any,any,medium,medium
14,cloud,Edge Config Integration,Fetch feature flags and config from edge providers,Global apps needing ultra-low latency configuration changes,Updates may have slight propagation delay (seconds),Fetch from Edge Config (Vercel/Cloudflare) and fallback to local cache,vercel edge config cloudflare workers feature flag,Vercel Edge Config,https://architecture.example.com/pattern/edge-config-integration,engineering-blog,2026-05-04,any,any,medium,medium
15,cloud,Managed Message Broker,Integrate with serverless pub/sub or queues,Decoupled services using Ably/Pusher or AWS EventBridge,Requires vendor-specific client libraries and retry logic,Abstract broker behind an interface and use dead-letter queues for failures,ably pusher eventbridge pubsub event driven,AWS EventBridge,https://architecture.example.com/pattern/managed-message-broker,engineering-blog,2026-05-04,any,any,medium,medium
16,ai,Vector DB Sync,Keeping vector embeddings in sync with primary data,RAG-based AI applications and semantic search,Embedding generation is expensive and async by nature,Trigger embedding generation in background when text fields change in DB,pinecone weaviate vector search embeddings rag,Pinecone Docs,https://architecture.example.com/pattern/vector-db-sync,engineering-blog,2026-05-04,any,any,medium,medium
