id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references,source_url,source_type,last_updated,throughput_tier,latency_tier,cost_tier,complexity_tier
1,read,Cache-aside with TTL,Application reads cache first and fills it from database on miss,Read-heavy data product catalogs profiles permissions and dashboards,Stale reads are possible until TTL or invalidation,Use short TTLs explicit invalidation on writes and dogpile protection,redis cache aside ttl read heavy,Redis Patterns,https://architecture.example.com/pattern/cache-aside-with-ttl,engineering-blog,2026-05-04,extreme,low,high,medium
2,write,Write-through cache,Write data to cache and durable store in the same path,Data that must be immediately available after write,Write latency and failure handling become more complex,Use only where cache consistency matters more than write simplicity,write through cache consistency redis,Microsoft Caching Pattern,https://architecture.example.com/pattern/write-through-cache,engineering-blog,2026-05-04,extreme,low,high,medium
3,invalidation,Event-driven invalidation,Publish domain events to remove or refresh affected cache entries,Mutable data shared by multiple services or workers,Requires reliable event delivery and idempotent handlers,Use versioned keys or outbox events for critical invalidation,cache invalidation event outbox redis pubsub,Transactional Outbox,https://architecture.example.com/pattern/event-driven-invalidation,engineering-blog,2026-05-04,any,any,medium,medium
4,session,Redis session store,Centralized low-latency session or token metadata store,Horizontal web servers and session revocation needs,Redis outage can affect login/session behavior,Set TTL align with session policy and use secure cookie identifiers,redis session ttl auth revoke,OWASP Session Management,https://architecture.example.com/pattern/redis-session-store,engineering-blog,2026-05-04,extreme,low,high,medium
5,lock,Distributed lock with fencing token,Coordinate rare cross-process critical sections,Single resource jobs scheduled tasks or deduplicated workers,Locks are easy to misuse and can cause data corruption,Prefer database constraints first; if needed include expiry and fencing token,distributed lock redis fencing job,Martin Kleppmann Locks,https://architecture.example.com/pattern/distributed-lock-with-fencing-token,engineering-blog,2026-05-04,any,any,medium,medium
6,performance,Request coalescing,Collapse concurrent cache misses into one database or API call,Hot keys expensive external API calls and thundering herd risk,Adds in-flight request bookkeeping,Use singleflight or promise memoization with timeout and fallback,cache stampede thundering herd singleflight,Google SRE,https://architecture.example.com/pattern/request-coalescing,engineering-blog,2026-05-04,any,any,medium,medium
7,keying,Versioned cache keys,Include schema or entity version in cache keys,Changing cached payload shape or invalidating broad sets,Old keys remain until TTL expires,Use predictable prefixes and bump version on incompatible payload change,cache key version schema invalidation,Redis Keyspace,https://architecture.example.com/pattern/versioned-cache-keys,engineering-blog,2026-05-04,extreme,low,high,medium
8,negative,Negative caching,Cache known misses for a short TTL,Hot lookup misses usernames slugs permissions and external resources,Can hide newly created data until TTL expires,Use very short TTL and invalidate on create,negative cache miss not found ttl,Cloudflare Caching,https://architecture.example.com/pattern/negative-caching,engineering-blog,2026-05-04,any,any,medium,medium
9,edge,HTTP edge caching,Cache public or semi-public HTTP responses near users,Static catalog pages docs pricing and public content,Personalized data must not leak through shared cache,Use cache-control vary etag and surrogate keys,http cache etag cache-control cdn,RFC 9111,https://architecture.example.com/pattern/http-edge-caching,official-docs,2026-05-04,any,any,medium,medium
10,refresh,Stale-while-revalidate,Serve stale content while refreshing in background,Read-heavy data where slight staleness is acceptable,Requires clear freshness semantics,Use stale window and background refresh with failure fallback,stale while revalidate swr cache refresh,RFC 5861,https://architecture.example.com/pattern/stale-while-revalidate,official-docs,2026-05-04,any,any,medium,medium
11,quota,Token bucket rate cache,Use Redis counters for distributed rate limiting,Public APIs auth endpoints and tenant quotas,Clock and key design affect fairness,Use atomic increments or Lua scripts with expiry,redis rate limit token bucket quota,Redis Lua,https://architecture.example.com/pattern/token-bucket-rate-cache,engineering-blog,2026-05-04,extreme,low,high,medium
12,safety,Cache PII minimization,Avoid storing sensitive personal data in shared caches,Healthcare finance auth and regulated domains,May reduce cache hit rate,Cache IDs or derived non-sensitive fields and encrypt if unavoidable,cache pii sensitive data privacy,OWASP ASVS,https://architecture.example.com/pattern/cache-pii-minimization,engineering-blog,2026-05-04,extreme,low,high,medium
13,write,Write-behind cache,Buffer writes in cache and persist asynchronously,High-throughput counters analytics and non-critical telemetry,Risk of data loss if cache fails before flush,Use only for non-critical data with durable fallback,write behind cache async counter,Redis Patterns,https://architecture.example.com/pattern/write-behind-cache,engineering-blog,2026-05-04,extreme,low,high,medium
14,read,Read-through cache,Cache layer loads data automatically on miss,Services using cache abstraction libraries,Can hide database coupling in cache layer,Keep loader observable and apply TTL per data type,read through cache loader ttl,Microsoft Caching,https://architecture.example.com/pattern/read-through-cache,engineering-blog,2026-05-04,extreme,low,high,medium
15,consistency,Lease based refresh,One process refreshes an expiring hot key,Hot cache keys and expensive recomputation,Lease bugs can block refresh,Use short lease TTL and serve stale value during refresh,cache lease refresh hot key,Memcached Patterns,https://architecture.example.com/pattern/lease-based-refresh,engineering-blog,2026-05-04,any,any,medium,medium
16,consistency,Cache stampede lock,Protect database from many concurrent misses,Popular keys after expiry and traffic spikes,Lock service can become bottleneck,Use jittered TTL request coalescing or lock with timeout,cache stampede lock dogpile,Redis Patterns,https://architecture.example.com/pattern/cache-stampede-lock,engineering-blog,2026-05-04,extreme,low,high,medium
17,keying,Tenant-scoped cache key,Include tenant or workspace identifier in every key,Multi-tenant SaaS shared Redis and permission caches,Long keys and invalidation complexity,Use prefix tenant:<id>:domain:<key> and never share mutable keys,tenant cache key isolation redis,OWASP ASVS,https://architecture.example.com/pattern/tenant-scoped-cache-key,engineering-blog,2026-05-04,extreme,low,high,medium
18,keying,Permission cache invalidation,Invalidate authz cache on role or policy changes,RBAC ABAC and enterprise permissions,Frequent invalidation can lower hit rate,Use short TTL plus event invalidation for role updates,permission cache rbac invalidation,OWASP ASVS,https://architecture.example.com/pattern/permission-cache-invalidation,engineering-blog,2026-05-04,extreme,low,high,medium
